,rouge-1,rouge-2,rouge-l,id,ROUGE-1_F1,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-2_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-L_F1,ROUGE-L_Precision,ROUGE-L_Recall,ID_F1,ID_Precision,ID_Recall
58,"{'f': 0.17391303856332718, 'p': 0.15384615384615385, 'r': 0.2}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.18181817685950424, 'p': 0.16666666666666666, 'r': 0.2}",id_dm_69667,0.17391303856332718,0.15384615384615385,0.2,0.0,0.0,0.0,0.18181817685950424,0.16666666666666666,0.2,-,-,-
59,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_138983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
60,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_cnn_11925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
61,"{'f': 0.5142857096163266, 'p': 0.4090909090909091, 'r': 0.6923076923076923}","{'f': 0.3030302984022039, 'p': 0.23809523809523808, 'r': 0.4166666666666667}","{'f': 0.5142857096163266, 'p': 0.4090909090909091, 'r': 0.6923076923076923}",id_dm_217918,0.5142857096163266,0.4090909090909091,0.6923076923076923,0.3030302984022039,0.23809523809523808,0.4166666666666667,0.5142857096163266,0.4090909090909091,0.6923076923076923,-,-,-
62,"{'f': 0.07692307204142042, 'p': 0.06666666666666667, 'r': 0.09090909090909091}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.07692307204142042, 'p': 0.06666666666666667, 'r': 0.09090909090909091}",id_dm_76648,0.07692307204142042,0.06666666666666667,0.09090909090909091,0.0,0.0,0.0,0.07692307204142042,0.06666666666666667,0.09090909090909091,-,-,-
63,"{'f': 0.12121211625344373, 'p': 0.13333333333333333, 'r': 0.1111111111111111}","{'f': 0.06451612407908468, 'p': 0.07142857142857142, 'r': 0.058823529411764705}","{'f': 0.13793102953626654, 'p': 0.15384615384615385, 'r': 0.125}",id_dm_103578,0.12121211625344373,0.13333333333333333,0.1111111111111111,0.06451612407908468,0.07142857142857142,0.058823529411764705,0.13793102953626654,0.15384615384615385,0.125,-,-,-
64,"{'f': 0.38461537964497045, 'p': 0.35714285714285715, 'r': 0.4166666666666667}","{'f': 0.08333332836805586, 'p': 0.07692307692307693, 'r': 0.09090909090909091}","{'f': 0.23999999507200007, 'p': 0.21428571428571427, 'r': 0.2727272727272727}",id_dm_104011,0.38461537964497045,0.35714285714285715,0.4166666666666667,0.08333332836805586,0.07692307692307693,0.09090909090909091,0.23999999507200007,0.21428571428571427,0.2727272727272727,-,-,-
65,"{'f': 0.47058823091695506, 'p': 0.34782608695652173, 'r': 0.7272727272727273}","{'f': 0.12499999570312517, 'p': 0.09090909090909091, 'r': 0.2}","{'f': 0.45161289864724247, 'p': 0.35, 'r': 0.6363636363636364}",id_dm_164849,0.47058823091695506,0.34782608695652173,0.7272727272727273,0.12499999570312517,0.09090909090909091,0.2,0.45161289864724247,0.35,0.6363636363636364,-,-,-
66,"{'f': 0.6857142808163266, 'p': 0.8, 'r': 0.6}","{'f': 0.666666661781451, 'p': 0.7857142857142857, 'r': 0.5789473684210527}","{'f': 0.6666666618666668, 'p': 0.8333333333333334, 'r': 0.5555555555555556}",id_dm_29323,0.6857142808163266,0.8,0.6,0.666666661781451,0.7857142857142857,0.5789473684210527,0.6666666618666668,0.8333333333333334,0.5555555555555556,-,-,-
67,"{'f': 0.2758620642568371, 'p': 0.2222222222222222, 'r': 0.36363636363636365}","{'f': 0.14814814348422511, 'p': 0.11764705882352941, 'r': 0.2}","{'f': 0.28571428094387763, 'p': 0.23529411764705882, 'r': 0.36363636363636365}",id_dm_152927,0.2758620642568371,0.2222222222222222,0.36363636363636365,0.14814814348422511,0.11764705882352941,0.2,0.28571428094387763,0.23529411764705882,0.36363636363636365,-,-,-
68,"{'f': 0.13793102963139137, 'p': 0.11764705882352941, 'r': 0.16666666666666666}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.14285713795918387, 'p': 0.125, 'r': 0.16666666666666666}",id_dm_28515,0.13793102963139137,0.11764705882352941,0.16666666666666666,0.0,0.0,0.0,0.14285713795918387,0.125,0.16666666666666666,-,-,-
