,rouge-1,rouge-2,rouge-l,id,ROUGE-1_F1,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-2_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-L_F1,ROUGE-L_Precision,ROUGE-L_Recall,ID_F1,ID_Precision,ID_Recall
35,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_122661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
36,"{'f': 0.28571428094387763, 'p': 0.23529411764705882, 'r': 0.36363636363636365}","{'f': 0.23076922603550304, 'p': 0.1875, 'r': 0.3}","{'f': 0.3076923028106509, 'p': 0.26666666666666666, 'r': 0.36363636363636365}",id_dm_129999,0.28571428094387763,0.23529411764705882,0.36363636363636365,0.23076922603550304,0.1875,0.3,0.3076923028106509,0.26666666666666666,0.36363636363636365,-,-,-
37,"{'f': 0.3846153797337278, 'p': 0.3333333333333333, 'r': 0.45454545454545453}","{'f': 0.1666666618055557, 'p': 0.14285714285714285, 'r': 0.2}","{'f': 0.3076923028106509, 'p': 0.26666666666666666, 'r': 0.36363636363636365}",id_cnn_18289,0.3846153797337278,0.3333333333333333,0.45454545454545453,0.1666666618055557,0.14285714285714285,0.2,0.3076923028106509,0.26666666666666666,0.36363636363636365,-,-,-
38,"{'f': 0.7999999950080001, 'p': 0.7692307692307693, 'r': 0.8333333333333334}","{'f': 0.6956521689224953, 'p': 0.6666666666666666, 'r': 0.7272727272727273}","{'f': 0.7999999950080001, 'p': 0.7692307692307693, 'r': 0.8333333333333334}",id_dm_46997,0.7999999950080001,0.7692307692307693,0.8333333333333334,0.6956521689224953,0.6666666666666666,0.7272727272727273,0.7999999950080001,0.7692307692307693,0.8333333333333334,-,-,-
39,"{'f': 0.16666666170138905, 'p': 0.15384615384615385, 'r': 0.18181818181818182}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.1739130384877128, 'p': 0.16666666666666666, 'r': 0.18181818181818182}",id_dm_61311,0.16666666170138905,0.15384615384615385,0.18181818181818182,0.0,0.0,0.0,0.1739130384877128,0.16666666666666666,0.18181818181818182,-,-,-
40,"{'f': 0.06451612466181092, 'p': 0.047619047619047616, 'r': 0.1}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.06896551272294917, 'p': 0.05263157894736842, 'r': 0.1}",id_dm_80694,0.06451612466181092,0.047619047619047616,0.1,0.0,0.0,0.0,0.06896551272294917,0.05263157894736842,0.1,-,-,-
41,"{'f': 0.11428570948571448, 'p': 0.09523809523809523, 'r': 0.14285714285714285}","{'f': 0.060606055831038036, 'p': 0.05, 'r': 0.07692307692307693}","{'f': 0.12903225311134256, 'p': 0.11764705882352941, 'r': 0.14285714285714285}",id_cnn_68032,0.11428570948571448,0.09523809523809523,0.14285714285714285,0.060606055831038036,0.05,0.07692307692307693,0.12903225311134256,0.11764705882352941,0.14285714285714285,-,-,-
42,"{'f': 0.7142857095153062, 'p': 0.5882352941176471, 'r': 0.9090909090909091}","{'f': 0.6153846106508877, 'p': 0.5, 'r': 0.8}","{'f': 0.7142857095153062, 'p': 0.5882352941176471, 'r': 0.9090909090909091}",id_dm_7882,0.7142857095153062,0.5882352941176471,0.9090909090909091,0.6153846106508877,0.5,0.8,0.7142857095153062,0.5882352941176471,0.9090909090909091,-,-,-
43,"{'f': 0.12903225319458916, 'p': 0.1111111111111111, 'r': 0.15384615384615385}","{'f': 0.06896551239001224, 'p': 0.058823529411764705, 'r': 0.08333333333333333}","{'f': 0.1333333285333335, 'p': 0.1111111111111111, 'r': 0.16666666666666666}",id_dm_150903,0.12903225319458916,0.1111111111111111,0.15384615384615385,0.06896551239001224,0.058823529411764705,0.08333333333333333,0.1333333285333335,0.1111111111111111,0.16666666666666666,-,-,-
44,"{'f': 0.3333333283487655, 'p': 0.35294117647058826, 'r': 0.3157894736842105}","{'f': 0.17647058325259532, 'p': 0.1875, 'r': 0.16666666666666666}","{'f': 0.3636363587511479, 'p': 0.42857142857142855, 'r': 0.3157894736842105}",id_dm_4500,0.3333333283487655,0.35294117647058826,0.3157894736842105,0.17647058325259532,0.1875,0.16666666666666666,0.3636363587511479,0.42857142857142855,0.3157894736842105,-,-,-
