,rouge-1,rouge-2,rouge-l,id,ROUGE-1_F1,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-2_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-L_F1,ROUGE-L_Precision,ROUGE-L_Recall,ID_F1,ID_Precision,ID_Recall
6438,"{'f': 0.18181817737373748, 'p': 0.2727272727272727, 'r': 0.13636363636363635}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.12903225369406884, 'p': 0.2, 'r': 0.09523809523809523}",id_dm_63248,0.18181817737373748,0.2727272727272727,0.13636363636363635,0.0,0.0,0.0,0.12903225369406884,0.2,0.09523809523809523,-,-,-
6439,"{'f': 0.07999999564800023, 'p': 0.125, 'r': 0.058823529411764705}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.07999999564800023, 'p': 0.125, 'r': 0.058823529411764705}",id_dm_197016,0.07999999564800023,0.125,0.058823529411764705,0.0,0.0,0.0,0.07999999564800023,0.125,0.058823529411764705,-,-,-
6440,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_32984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
6441,"{'f': 0.39999999520000007, 'p': 0.5, 'r': 0.3333333333333333}","{'f': 0.26086956045368626, 'p': 0.3333333333333333, 'r': 0.21428571428571427}","{'f': 0.39999999520000007, 'p': 0.5, 'r': 0.3333333333333333}",id_dm_135790,0.39999999520000007,0.5,0.3333333333333333,0.26086956045368626,0.3333333333333333,0.21428571428571427,0.39999999520000007,0.5,0.3333333333333333,-,-,-
6442,"{'f': 0.18749999500000014, 'p': 0.1875, 'r': 0.1875}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.22222221739369008, 'p': 0.2727272727272727, 'r': 0.1875}",id_cnn_48170,0.18749999500000014,0.1875,0.1875,0.0,0.0,0.0,0.22222221739369008,0.2727272727272727,0.1875,-,-,-
6443,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_cnn_53144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
6444,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_161778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
6445,"{'f': 0.13333332868888906, 'p': 0.18181818181818182, 'r': 0.10526315789473684}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.1428571384948981, 'p': 0.2222222222222222, 'r': 0.10526315789473684}",id_dm_59377,0.13333332868888906,0.18181818181818182,0.10526315789473684,0.0,0.0,0.0,0.1428571384948981,0.2222222222222222,0.10526315789473684,-,-,-
6446,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_cnn_24828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
6447,"{'f': 0.19047618639455788, 'p': 0.3333333333333333, 'r': 0.13333333333333333}","{'f': 0.10526315401662063, 'p': 0.2, 'r': 0.07142857142857142}","{'f': 0.19999999625000006, 'p': 0.4, 'r': 0.13333333333333333}",id_dm_69847,0.19047618639455788,0.3333333333333333,0.13333333333333333,0.10526315401662063,0.2,0.07142857142857142,0.19999999625000006,0.4,0.13333333333333333,-,-,-
6448,"{'f': 0.23076922588757406, 'p': 0.2727272727272727, 'r': 0.2}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.15999999507200013, 'p': 0.18181818181818182, 'r': 0.14285714285714285}",id_dm_214222,0.23076922588757406,0.2727272727272727,0.2,0.0,0.0,0.0,0.15999999507200013,0.18181818181818182,0.14285714285714285,-,-,-
6449,"{'f': 0.17142856760816338, 'p': 0.3333333333333333, 'r': 0.11538461538461539}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.062499996250000224, 'p': 0.125, 'r': 0.041666666666666664}",id_dm_39830,0.17142856760816338,0.3333333333333333,0.11538461538461539,0.0,0.0,0.0,0.062499996250000224,0.125,0.041666666666666664,-,-,-
6450,"{'f': 0.275862064684899, 'p': 0.4444444444444444, 'r': 0.2}","{'f': 0.07407406990397829, 'p': 0.125, 'r': 0.05263157894736842}","{'f': 0.1599999959680001, 'p': 0.2857142857142857, 'r': 0.1111111111111111}",id_dm_96131,0.275862064684899,0.4444444444444444,0.2,0.07407406990397829,0.125,0.05263157894736842,0.1599999959680001,0.2857142857142857,0.1111111111111111,-,-,-
6451,"{'f': 0.05714285361632675, 'p': 0.125, 'r': 0.037037037037037035}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.05714285361632675, 'p': 0.125, 'r': 0.037037037037037035}",id_dm_13357,0.05714285361632675,0.125,0.037037037037037035,0.0,0.0,0.0,0.05714285361632675,0.125,0.037037037037037035,-,-,-
6452,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_9476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
